busname,street,city,state,zip
TACO BELL,8389 MIRA MESA BLVD,SAN DIEGO,CA,92126
TACO BELL,11601 DUENDA RD,SAN DIEGO,CA,92127
TACO BELL,11688 CARMEL MOUNTAIN RD,SAN DIEGO,CA,92128
TACO BELL,3144 CARMEL VALLEY RD,SAN DIEGO,CA,92130
TACO BELL,42750 JACKSON ST # B,INDIO,CA,92203
TACO BELL,46155 DILLON RD,COACHELLA,CA,92236
TACO BELL,1990 N IMPERIAL AVE,EL CENTRO,CA,92243
TACO BELL,350 WAKE AVE,EL CENTRO,CA,92243
TACO BELL,78932 HIGHWAY 111,LA QUINTA,CA,92253
TACO BELL,1717 E VISTA CHINO,PALM SPRINGS,CA,92262
TACO BELL,1531 MARINE CORPS BLDG,TWENTYNINE PALMS,CA,92277
TACO BELL,57622 29 PALMS HWY,YUCCA VALLEY,CA,92284
TACO BELL,20185 US HIGHWAY 18,APPLE VALLEY,CA,92307
TACO BELL,12218 APPLE VALLEY RD # 201,APPLE VALLEY,CA,92308
TACO BELL,72083 BAKER BLVD,BAKER,CA,92309
TACO BELL,21 GIKDSTIBE RD,FORT IRWIN,CA,92310
TACO BELL,1507 E MAIN ST,BARSTOW,CA,92311
TACO BELL,41170 BIG BEAR BLVD,BIG BEAR LAKE,CA,92315
TACO BELL,18772 VALLEY BLVD,BLOOMINGTON,CA,92316
TACO BELL,1190 CALIMESA BLVD,CALIMESA,CA,92320
TACO BELL,16863 VALLEY BLVD,FONTANA,CA,92335
TACO BELL,17111 FOOTHILL BLVD,FONTANA,CA,92335
TACO BELL,15140 SUMMIT AVE,FONTANA,CA,92336
TACO BELL,17170 MAIN ST,HESPERIA,CA,92345
TACO BELL,14071 MAIN ST,HESPERIA,CA,92345
TACO BELL,2525 HIGHLAND AVE,HIGHLAND,CA,92346
TACO BELL,2603 COLUMBUS ST,NEEDLES,CA,92363
TACO BELL,1225 W COLTON AVE,REDLANDS,CA,92374
TACO BELL,240 W BASE LINE RD,RIALTO,CA,92376
TACO BELL,15357 PALMDALE RD,VICTORVILLE,CA,92392
TACO BELL,14400 BEAR VALLEY RD # 739,VICTORVILLE,CA,92392
TACO BELL,17250 BEAR VALLEY RD,VICTORVILLE,CA,92395
TACO BELL,34077 YUCAIPA BLVD,YUCAIPA,CA,92399
TACO BELL,295 W HIGHLAND AVE,SAN BERNARDINO,CA,92405
TACO BELL,1990 OSTREMS WAY,SAN BERNARDINO,CA,92407
TACO BELL,258 E REDLANDS BLVD,SAN BERNARDINO,CA,92408
TACO BELL,797 W 2ND ST,SAN BERNARDINO,CA,92410
TACO BELL,5587 ARLINGTON AVE,RIVERSIDE,CA,92504
TACO BELL,1426 UNIVERSITY AVE,RIVERSIDE,CA,92507
TACO BELL,1420 UNIVERSITY AVE,RIVERSIDE,CA,92507
TACO BELL,181 E ALESSANDRO BLVD,RIVERSIDE,CA,92508
TACO BELL,6970 MISSION BLVD,RIVERSIDE,CA,92509
TACO BELL,7940 LIMONITE AVE,RIVERSIDE,CA,92509
TACO BELL,31712 MISSION TRL,LAKE ELSINORE,CA,92530
TACO BELL,43466 STATE HIGHWAY 74,HEMET,CA,92544
TACO BELL,3317 W FLORIDA AVE,HEMET,CA,92545
TACO BELL,23010 SUNNYMEAD BLVD,MORENO VALLEY,CA,92553
TACO BELL,24936 ELDER AVE,MORENO VALLEY,CA,92557
